game_id,date,home_team_name,away_team_name,home_team_ranked,away_team_ranked,home_score,away_score,location_type,status,schedule_url,boxscore_url,dedupe_key
sidearm-2025-01-01-Boston-College-Fairfield,2025-01-01,Boston College,Fairfield,false,false,,,home,scheduled,,,2025-01-01-Boston-College-Fairfield
sidearm-2025-01-01-Boston-College-UConn,2025-01-01,UConn,Boston College,false,false,,,away,scheduled,,,2025-01-01-Boston-College-UConn
sidearm-2025-01-01-Lindsey-Wilson-College-(Ky.)-(EXH)-Louisville,2025-01-01,Louisville,Lindsey Wilson College (Ky.) (EXH),false,false,,,home,scheduled,,,2025-01-01-Lindsey-Wilson-College-(Ky.)-(EXH)-Louisville
sidearm-2025-01-01-Indiana-University-(EXH)-Louisville,2025-01-01,Indiana University (EXH),Louisville,false,false,,,away,scheduled,,,2025-01-01-Indiana-University-(EXH)-Louisville
sidearm-2025-01-01-Tulsa-(Exhibition)-Wake-Forest,2025-01-01,Wake Forest,Tulsa (Exhibition),false,false,,,home,scheduled,,,2025-01-01-Tulsa-(Exhibition)-Wake-Forest
sidearm-2025-01-01-Maryland-Wake-Forest,2025-01-01,Wake Forest,Maryland,false,false,,,home,scheduled,,,2025-01-01-Maryland-Wake-Forest
sidearm-2025-08-08-Coastal-Carolina-Duke,2025-08-08,Coastal Carolina,Duke,false,false,,,away,scheduled,,,2025-08-08-Coastal-Carolina-Duke
sidearm-2025-08-09-Marist-Syracuse,2025-08-09,Syracuse,Marist,false,false,,,home,scheduled,,,2025-08-09-Marist-Syracuse
sidearm-2025-08-09-UNC-Greensboro-(Exhibition)-Wake-Forest,2025-08-09,UNC Greensboro (Exhibition),Wake Forest,false,false,,,away,scheduled,,,2025-08-09-UNC-Greensboro-(Exhibition)-Wake-Forest
sidearm-2025-08-10-San-Francisco-Stanford,2025-08-10,Stanford,San Francisco,false,false,2,0,home,final,,https://gostanford.com/news/2025/08/11/card-wins-preseason-opener,2025-08-10-San-Francisco-Stanford
sidearm-2025-08-10-California-Sacramento-State,2025-08-10,California,Sacramento State,false,false,,,home,scheduled,,,2025-08-10-California-Sacramento-State
sidearm-2025-08-12-Duke-UNC-Asheville,2025-08-12,UNC Asheville,Duke,false,false,,,away,scheduled,,,2025-08-12-Duke-UNC-Asheville
sidearm-2025-08-12-Cal-State-Bakersfield-Stanford,2025-08-12,Stanford,Cal State Bakersfield,false,false,2,1,home,final,,https://gostanford.com/news/2025/08/13/late-push-lifts-cardinal,2025-08-12-Cal-State-Bakersfield-Stanford
sidearm-2025-08-12-Mercyhurst-Syracuse,2025-08-12,Syracuse,Mercyhurst,false,false,,,home,scheduled,,,2025-08-12-Mercyhurst-Syracuse
sidearm-2025-08-16-Duke-James-Madison,2025-08-16,Duke,James Madison,false,false,,,home,scheduled,,,2025-08-16-Duke-James-Madison
sidearm-2025-08-16-Cal-Poly-Stanford,2025-08-16,Stanford,Cal Poly,false,false,1,0,home,final,,https://gostanford.com/news/2025/08/17/a-perfect-preseason,2025-08-16-Cal-Poly-Stanford
sidearm-2025-08-16-St.-John's-Syracuse,2025-08-16,Syracuse,St. John's,false,false,,,home,scheduled,,,2025-08-16-St.-John's-Syracuse
sidearm-2025-08-16-California-UC-Davis,2025-08-16,UC Davis,California,false,false,,,away,scheduled,,,2025-08-16-California-UC-Davis
sidearm-2025-08-21-Binghamton-Boston-College,2025-08-21,Boston College,Binghamton,false,false,,,home,scheduled,,,2025-08-21-Binghamton-Boston-College
sidearm-2025-08-21-Duke-San-Diego,2025-08-21,Duke,San Diego,false,true,,,home,scheduled,,,2025-08-21-Duke-San-Diego
sidearm-2025-08-21-Louisville-University-of-Southern-Indiana,2025-08-21,Louisville,University of Southern Indiana,false,false,,,home,scheduled,,,2025-08-21-Louisville-University-of-Southern-Indiana
sidearm-2025-08-21-NC-State-Queens,2025-08-21,NC State,Queens,false,false,,,home,scheduled,,,2025-08-21-NC-State-Queens
sidearm-2025-08-21-Pittsburgh-Quinnipiac,2025-08-21,Pittsburgh,Quinnipiac,false,false,,,home,scheduled,,,2025-08-21-Pittsburgh-Quinnipiac
sidearm-2025-08-21-Sacramento-State-Stanford,2025-08-21,Stanford,Sacramento State,false,false,5,1,home,final,,https://gostanford.com/boxscore/25671,2025-08-21-Sacramento-State-Stanford
sidearm-2025-08-21-Syracuse-UConn,2025-08-21,Syracuse,UConn,false,false,,,home,scheduled,,,2025-08-21-Syracuse-UConn
sidearm-2025-08-21-North-Carolina-UCF,2025-08-21,North Carolina,UCF,false,false,,,home,scheduled,,,2025-08-21-North-Carolina-UCF
