game_id,date,home_team_name,away_team_name,home_team_ranked,away_team_ranked,home_score,away_score,location_type,status,schedule_url,boxscore_url,dedupe_key
sidearm-2025-01-01-Boston-College-Fairfield,2025-01-01,Boston College,Fairfield,false,false,,,home,scheduled,,,2025-01-01-Boston-College-Fairfield
sidearm-2025-01-01-UConn-Boston-College,2025-01-01,UConn,Boston College,false,false,,,away,scheduled,,,2025-01-01-Boston-College-UConn
sidearm-2025-01-01-California-Sacramento-State,2025-01-01,California,Sacramento State,false,false,,,unknown,scheduled,,,2025-01-01-California-Sacramento-State
sidearm-2025-01-01-California-UC-Davis,2025-01-01,California,UC Davis,false,false,,,unknown,scheduled,,,2025-01-01-California-UC-Davis
sidearm-2025-01-01-California-Saint-Mary's,2025-01-01,California,Saint Mary's,false,false,3,2,unknown,final,,https://calbears.com/sports/mens-soccer/stats/2025/saint-mary-s/boxscore/37894,2025-01-01-California-Saint-Mary's
sidearm-2025-01-01-California-UCLA,2025-01-01,California,UCLA,false,false,1,0,unknown,final,,https://calbears.com/sports/mens-soccer/stats/2025/ucla/boxscore/37895,2025-01-01-California-UCLA
sidearm-2025-01-01-California-San-Francisco,2025-01-01,California,San Francisco,false,false,1,2,unknown,final,,https://calbears.com/sports/mens-soccer/stats/2025/san-francisco/boxscore/37896,2025-01-01-California-San-Francisco
sidearm-2025-01-01-California-UC-San-Diego,2025-01-01,California,UC San Diego,false,false,1,1,unknown,final,,https://calbears.com/sports/mens-soccer/stats/2025/uc-san-diego/boxscore/37897,2025-01-01-California-UC-San-Diego
sidearm-2025-01-01-California-Boston-College,2025-01-01,California,Boston College,false,false,2,0,unknown,final,,https://calbears.com/sports/mens-soccer/stats/2025/boston-college/boxscore/37898,2025-01-01-Boston-College-California
sidearm-2025-01-01-California-Harvard,2025-01-01,California,Harvard,false,false,1,3,unknown,final,,https://calbears.com/sports/mens-soccer/stats/2025/harvard/boxscore/37899,2025-01-01-California-Harvard
